cast,crew,date,link,playwright,playwright_formatted,playwright_formatted_long,poster_thumb_tag,run,season,title,type,venue,year_title
Claire Boynton/Felicity Plester/Kate Donovan/Jo Hoare/Will Openshaw/,Davina Shah/Jamie Abson/Davina Shah/Marni Miller-Becker/Samantha Partridge/Ben Taunt/Jenny Kent/Jamie Abson/Jamie Abson/Stuart Andrews/James Bogle/Michael Longhurst/Michael Longhurst/Jamie Abson/Michael Longhurst/Davina Shah/Jenny Constantine/Samantha Partridge/,2002-03-12,/years/01_02/my_mother_said_i_never_should/,Charlotte Keatley,by Charlotte Keatley,by Charlotte Keatley,<a href='/years/01_02/my_mother_said_i_never_should/'><img src='https://photos.smugmug.com/photos/i-s66J3r3/0/3ed0f53c/128x162/i-s66J3r3-128x162.jpg' class='search-result-poster-thumb' alt='My Mother Said I Never Should poster' /></a>,12-15 March 2002,In House,My Mother Said I Never Should,show,New Theatre,2001-02
NA,Alison Carr/,2001-10-31,/years/01_02/once_a_catholic/,Mary O'Malley,by Mary O'Malley,by Mary O'Malley,<a href='/years/01_02/once_a_catholic/'><img src='https://photos.smugmug.com/photos/i-pm3j7jW/0/249f8e2f/128x162/i-pm3j7jW-128x162.jpg' class='search-result-poster-thumb' alt='Once a Catholic poster' /></a>,31 October-3 November 2001,In House,Once a Catholic,show,New Theatre,2001-02
Philip Hamann/Joseph Arkley/Ben Bergin/Mike Reich/Tom King/Marni Miller-Becker/Stephanie Ward/Richard Whitehead/Rhoda Ofori-Attah/Lynette Shanbury/,Hannah Bragg/Sarah Withers/Jamie Abonson/James Law/Adam Godden/Caroline Blinkhorn/Caroline Cracknell/Jo Henderson/Judith Thei/Lucy Greene/,2001-11-21,/years/01_02/our_countrys_good/,Timberlake Wertenbaker,by Timberlake Wertenbaker,by Timberlake Wertenbaker,<a href='/years/01_02/our_countrys_good/'><img src='https://photos.smugmug.com/photos/i-BxFLJxK/0/2aa5a47d/128x162/i-BxFLJxK-128x162.jpg' class='search-result-poster-thumb' alt='Our Country's Good poster' /></a>,21-24 November 2001,In House,Our Country's Good,show,New Theatre,2001-02
Jude Heaton/Jo Hoare/Rhoda Ofori-Attah/Emily Hawkins/Claire Butters/Kath Akers/Matt Chapman/Lois Reed/Ruth Wilson/Nick Belcher/Claire Boynton/Henry Clarke/Jamie Griffiths/Sophie Bostock/Pete Bridge/George Kaye/Nikolaj Babic/Anthony Colles/Josh Dean/Roanna Schneider/Harriet Faber/,Michael Longhurst/Davina Shah/Jamie Abson/Stuart Andrews/Michael Longhurst/Jamie Abson/Stuart Andrews/Lydia Ashman/April Reed/Ben Richards/Catherine Sheard/James Law/Mike Cook/James Law/Liz Bignell/Toby Knowles/Lucy Greene/Lindsey Bradford/Caroline Blinkhorn/Rachel Taylor/Judith Thei/Suzy Freake/Jamie Abson/James Allen/Stuart Andrews/Simon Aspley/Harriet Faber/Roanna Schneider/,2001-11-08,/years/01_02/the_crucible/,Arthur Miller,by Arthur Miller,by Arthur Miller,<a href='/years/01_02/the_crucible/'><img src='https://photos.smugmug.com/photos/i-2NVVg5n/0/daae5200/128x162/i-2NVVg5n-128x162.jpg' class='search-result-poster-thumb' alt='The Crucible poster' /></a>,8-10 November 2001,In House,The Crucible,show,Djanogly Theatre,2001-02
Ben Richards/Ali Sherriffs/Ellie Burt/Henry Filloux-Bennett/Chris Bye/George Perrett/,Katie Hartwill/Suzy Freake/Alexandra Turner/Ben Richards/Fran DeNavaro/Chris Brammeld/Abby Henson/Alexandra Turner/Alex Gilham/Rob Tolan/Suzy Freake/,2001-11-14,/years/01_02/the_homecoming/,Harold Pinter,by Harold Pinter,by Harold Pinter,<a href='/years/01_02/the_homecoming/'><img src='https://photos.smugmug.com/photos/i-kQfkzFK/0/5c3526e0/128x162/i-kQfkzFK-128x162.jpg' class='search-result-poster-thumb' alt='The Homecoming poster' /></a>,14-17 November 2001,In House,The Homecoming,show,New Theatre,2001-02
Andrew McDonnell/Amy Williams/Pete Bridge/Michael Hyde/Moly Watson/Emily Hawkins/Dan Thomas/,Sam Nafissi/Mairi MacRae/Abby Kendler/Stuart Andrews/Jamie Abson/Amanda Hobson/Hannah Stevens/Amanda Mills/Gemma Lee/Hen Ross/Sophie Hargroves/Francis Edzard-Yates/,2002-04-24,/years/01_02/time_of_my_life/,Alan Ayckbourn,by Alan Ayckbourn,by Alan Ayckbourn,<a href='/years/01_02/time_of_my_life/'><img src='https://photos.smugmug.com/photos/i-X5jdCbB/0/39b0f19f/128x162/i-X5jdCbB-128x162.jpg' class='search-result-poster-thumb' alt='Time of My Life poster' /></a>,24-27 April 2002,In House,Time of My Life,show,New Theatre,2001-02
Phil Hammond/Abi Styles/Adam Hirschowitz/Polly Faber/Greg Aldam/Naomi Atkins/Nick Salmon/Samantha Pysk/,Kurban Kassam/Alex Jenkinson/Aidan McClure/Rob Durford/Loic Tallon/Rosie Collis/Mary Jane Sturt/Tansy Drake/Mike Dawe/,2003-04-30,/years/02_03/bedroom_farce/,Alan Ayckbourn,by Alan Ayckbourn,by Alan Ayckbourn,<a href='/years/02_03/bedroom_farce/'><img src='https://photos.smugmug.com/photos/i-PXCxLHf/0/50ab2c6f/128x162/i-PXCxLHf-128x162.jpg' class='search-result-poster-thumb' alt='Bedroom Farce poster' /></a>,30 April-3 May 2003,In House,Bedroom Farce,show,New Theatre,2002-03
Toby Brack/Ruth Wilson/Ben Bergin/Anneliese Mackintosh/Jane Lawson/Phil Sarson/Bush/,Stuart Barter/Chloe Campbell/Jamie Abson/Lucy Ockenden/Sarah Ball/Naomi Oppenheim/Amanda Robinson/Nick Stafford/John Campbell/Matt Wilson/Toby Knowles/Claude Debussy/,2003-06-04,/years/02_03/crave_and_the_ruffian_on_the_stair/,Joe Orton/Sarah Kane,by Joe Orton/Sarah Kane,by Joe Orton/Sarah Kane,<a href='/years/02_03/crave_and_the_ruffian_on_the_stair/'><img src='https://photos.smugmug.com/photos/i-S5FgQ5c/0/49c30c54/128x162/i-S5FgQ5c-128x162.jpg' class='search-result-poster-thumb' alt=''Crave' and 'The Ruffian On The Stair' poster' /></a>,4-7 June 2003,In House,'Crave' and 'The Ruffian On The Stair',show,New Theatre,2002-03
Jamie Griffiths/Ali Sherriffs/Nick Belcher/Sophie Bostock/Emily Hawkins/Andrew McDonnell/Chris Roberts/Sam Taylor/,Michael Longhurst/Davina Shah/Jamie Abson/Stuart Andrews/Nottingham Playhouse Workshop/Davina Shah/Ben Taunt/Toby Knowles/Ben Taunt/James Law/Jenny Constantine/Emma Shepherd & Simon Brown (Eskimo Design)/Roo Machell (Ampersand Design Studio)/Kate Donovan/Tom King/Samantha Partridge/Judith Thei/,2003-06-04,/years/02_03/doctor_faustus/,Christopher Marlowe,by Christopher Marlowe,by Christopher Marlowe,<a href='/years/02_03/doctor_faustus/'><img src='https://photos.smugmug.com/photos/i-X2MvkD8/1/5b0af233/128x162/i-X2MvkD8-128x162.jpg' class='search-result-poster-thumb' alt='Doctor Faustus poster' /></a>,4-7 June 2003,Lakeside,Doctor Faustus,show,Djanogly Theatre,2002-03
Natalie Ghatan/Phil Sarson/Bush/Nick Salmon/,Bush/Fiona Johnson/S.P. Whelan/Matt Wilson/Jamie Asden/S.P. Whelan/Shreeta Shah/Tim Goalen/Mike Cook/Izzy Trednick/Loic Tallon/,2002-11-20,/years/02_03/morning_on_a_rainy_day_capital/,Vanessa Bradham,by Vanessa Bradham,by Vanessa Bradham,<a href='/years/02_03/morning_on_a_rainy_day_capital/'><img src='https://photos.smugmug.com/photos/i-VxbkxfK/0/508680a9/128x162/i-VxbkxfK-128x162.jpg' class='search-result-poster-thumb' alt=''Morning on a Rainy day' and 'Capital' poster' /></a>,20-24 November 2002,In House,'Morning on a Rainy day' and 'Capital',show,New Theatre,2002-03
Matt Jones/Dave Jobanputra/Ben Bergin/Laura Teague/Laura Elmer/Michael Walker/Jo Hoare/Martina Heron/Euan Lawrence/Chloe Osborn/Anneliese Mackintosh/Jen Smith/Helen Streeter/Eryn Burden/,James Ashton/Lindsey Fowler/Andi McCrae/David Wills/Judith Thei/Lizzy Plackett/Offy Tilt/Caroline Blinkhorn/Nicola Brooker/Elaine Sivyer/,NA,/years/02_03/oberonicus/,James Ashton,by James Ashton,by James Ashton,<a href='/years/02_03/oberonicus/'><img src='https://photos.smugmug.com/photos/i-JcwKCN5/0/72a3dd4e/128x162/i-JcwKCN5-128x162.jpg' class='search-result-poster-thumb' alt='Oberonicus poster' /></a>,2002-03 (Dates Unknown),In House,Oberonicus,show,New Theatre,2002-03
Andrew Haugen/Claire Butters/Yashouda Balraj/Elliot Bhana/Cat McCotter/Nikolaj Babic/Stacie Bowden/Tom Kemble/Ian Mitchell-Innes/Emily Cahalane/,Jen Aggleton/Rachel Farrell/Mark Rowlands/Marni Miller-Becker/Chris Brammeld/Martina Heron/Robin Pritchett/Jen Aggleton/Rachel Farrell/Robin Pritchett/,NA,/years/02_03/the_dispute/,Marivaux,by Marivaux,by Marivaux,<a href='/years/02_03/the_dispute/'><img src='https://photos.smugmug.com/photos/i-8K2d6mf/0/95369ea9/128x162/i-8K2d6mf-128x162.jpg' class='search-result-poster-thumb' alt='The Dispute poster' /></a>,2002-03 (Dates Unknown),In House,The Dispute,show,New Theatre,2002-03
Lawrence Everett/,NA,2003-03-05,/years/02_03/the_philanthropist/,Christopher Hampton,by Christopher Hampton,by Christopher Hampton,<a href='/years/02_03/the_philanthropist/'><img src='https://photos.smugmug.com/photos/i-ZgtxThz/0/c6eb8535/128x162/i-ZgtxThz-128x162.jpg' class='search-result-poster-thumb' alt='The Philanthropist poster' /></a>,5-8 March 2003,In House,The Philanthropist,show,New Theatre,2002-03
Joseph Arkley/Joe Millington/Jenny Crossley/Ellie Burt/Ali Sherriffs/Charly Brooks/Andrew McDonnell/Chris Roberts/Rob Ridd/Rupert Hurley/,Katie Hartwill/Richard McKelvey/Joe Millington/Jane Lawson/The Cast/Crew and Ade/Chris Brammeld/Richard McKelvey/Jane Lawson/Martin Piggott/Tom Kyle/Richard McKelvey/Stephanie Lane/Katie Hartwill/Richard McKelvey/Pete Bridge/,2003-03-18,/years/02_03/translations/,Brian Friel,by Brian Friel,by Brian Friel,<a href='/years/02_03/translations/'><img src='https://photos.smugmug.com/photos/i-GTftk7X/0/4f84d619/128x162/i-GTftk7X-128x162.jpg' class='search-result-poster-thumb' alt='Translations poster' /></a>,18-21 March 2003,In House,Translations,show,New Theatre,2002-03
Joseph Arkley/Stephanie Lane/Sarah-Jane Franklin/Tom King/Euan Lawrence/Chris Roberts/Nikolaj Babic/Tom Kemble/Jen Aggleton/Anna Geffert/Ellie Burt/Diane Morrison/Marni Miller-Becker/Chris Holiday/Ben Bergin/Lydia Waine/,Henry Filloux-Bennett/Cat McCotter/Henry Filloux-Bennett/Cat McCotter/Tom King/Ben Richards/Chris Roberts/Kate Holder/The Lacemarket Theatre/Chris Brammeld/Sarah Haugh/Henry Filloux-Bennett/Jen Pollock/Rachel Farrell/Karen Williams/Ben Richards/Sarah-Jane Franklin/Lydia Waine/Henry Filloux-Bennett/,NA,/years/03_04/amadeus/,Peter Shaffer,by Peter Shaffer,by Peter Shaffer,<a href='/years/03_04/amadeus/'><img src='https://photos.smugmug.com/photos/i-wpp7dbH/0/305d177e/128x162/i-wpp7dbH-128x162.jpg' class='search-result-poster-thumb' alt='Amadeus poster' /></a>,2003-04 (Dates Unknown),In House,Amadeus,show,New Theatre,2003-04
Lucy Van Den Heede/Chris Roberts/Alex Eisenberg/,Ellie Burt/Loic Tallon/Stuart Murphy/Chris Brammeld/Chris Brammeld/Toby Smith/Matt Wilson/Stuart Murphy/Beth Deakin/Rebecca Martinez/Jessica Higginson/Polly Faber/Miguel Carvalho/,2003-11-05,/years/03_04/copenhagen/,Michael Frayn,by Michael Frayn,by Michael Frayn,NA,5-8 November 2003,In House,Copenhagen,show,New Theatre,2003-04
NA,NA,2003-11-19,/years/03_04/endgame/,Samuel Beckett,by Samuel Beckett,by Samuel Beckett,NA,19-22 November 2003,In House,Endgame,show,New Theatre,2003-04
NA,NA,2003-11-26,/years/03_04/fat_men_in_skirts/,Nicky Silver,by Nicky Silver,by Nicky Silver,NA,26-29 November 2003,In House,Fat Men in Skirts,show,New Theatre,2003-04
NA,Catherine Paskell/,NA,/years/03_04/fat_men_in_skirts_edinburgh/,Nicky Silver,by Nicky Silver,by Nicky Silver,NA,2003-04 (Dates Unknown),Edinburgh,Fat Men in Skirts,show,ZOO,2003-04
NA,NA,2003-12-03,/years/03_04/kiss_me_kate/,Cole Porter,by Cole Porter,by Cole Porter,NA,3-6 December 2003,In House,Kiss Me Kate,show,New Theatre,2003-04
NA,NA,NA,/years/03_04/larkin_with_women/,Ben Brown,by Ben Brown,by Ben Brown,NA,2003-04 (Dates Unknown),In House,Larkin With Women,show,New Theatre,2003-04
NA,NA,2003-10-29,/years/03_04/sexual_perversity_in_chicago/,David Mamet,by David Mamet,by David Mamet,NA,29 October-1 November 2003,In House,Sexual Perversity in Chicago,show,New Theatre,2003-04
NA,NA,2003-11-07,/years/03_04/the_importance_of_being_earnest/,Oscar Wilde,by Oscar Wilde,by Oscar Wilde,NA,7-9 November 2003,In House,The Importance of Being Earnest,show,Trent/Performing Arts Studio,2003-04
Bush/,Kurban Kassam/Oliver James Hymans/,NA,/years/03_04/the_radiator/,Luke S. Uglow,by Luke S. Uglow,by Luke S. Uglow,NA,2003-04 (Dates Unknown),In House,The Radiator,show,New Theatre,2003-04
Jason Lasky/,Oliver James Hymans/,2003-11-12,/years/03_04/the_sideshow/,null,Devised,Devised,NA,12-15 November 2003,In House,The Sideshow,show,New Theatre,2003-04
NA,NA,2003-12-03,/years/03_04/volpone/,Ben Johnson,by Ben Johnson,by Ben Johnson,NA,3-6 December 2003,In House,Volpone,show,Djanogly Theatre,2003-04
Sam Kingston/Magnus McCullagh/Robert Samuelson/Maryann O'Brien/Emily Baker/Theo James/Chris Macdonald/Emily Medhurst/,Oliver James Hymans/,NA,/years/04_05/charlie_and_the_chocolate_factory/,Roald Dahl,by Roald Dahl,by Roald Dahl; Adapted by Richard R. George,NA,2004-05 (Dates Unknown),Lakeside,Charlie and the Chocolate Factory,show,Djanogly Theatre,2004-05
NA,NA,NA,/years/04_05/east/,Steven Berkoff,by Steven Berkoff,by Steven Berkoff,NA,2004-05 (Dates Unknown),In House,East,show,New Theatre,2004-05
Emily Medhurst/,Lauren Gurteen/,NA,/years/04_05/oleanna/,David Mamet,by David Mamet,by David Mamet,NA,2004-05 (Dates Unknown),In House,Oleanna,show,null,2004-05
NA,NA,NA,/years/04_05/quills/,Doug Wright,by Doug Wright,by Doug Wright,NA,2004-05 (Dates Unknown),In House,Quills,show,New Theatre,2004-05
Maryann O'Brien/Georgina Strawson/,Oliver James Hymans/Liat Rosenthal/Laura Dexter/,NA,/years/04_05/shoe_story/,Oliver James Hymans and Liat Rosenthal,by Oliver James Hymans and Liat Rosenthal,by Oliver James Hymans and Liat Rosenthal,<a href='/years/04_05/shoe_story/'><img src='https://photos.smugmug.com/photos/i-M6QTq5G/0/4b8bdb22/128x162/i-M6QTq5G-128x162.png' class='search-result-poster-thumb' alt='Shoe Story poster' /></a>,2004-05 (Dates Unknown),Edinburgh,Shoe Story,show,Sweet Venue,2004-05
Emily Medhurst/,NA,NA,/years/04_05/the_bald_prima_donna/,Eugène Ionesco,by Eugène Ionesco,by Eugène Ionesco,NA,2004-05 (Dates Unknown),In House,The Bald Prima Donna,show,null,2004-05
Jim Rastall/Elliot Bhana/Holly Walker/Clare Salter/Andy Slater/Tom Copley/Simon Thompson/Rick Chernick/,Charlie Brafman/Natasha Abrams/Joshua Cohen/Amanda Kerstein/Rachel Jones/Sophie Pearce/Alistair Coe/Philip Raperport/Daniel Xavier Vizer/Claire Brickel/,2005-06-07,/years/04_05/the_trial/,Franz Kafka,by Franz Kafka,by Franz Kafka; Adapted by Steven Berkoff,<a href='/years/04_05/the_trial/'><img src='https://photos.smugmug.com/photos/i-jFd6Gzf/0/39b0c1de/128x162/i-jFd6Gzf-128x162.jpg' class='search-result-poster-thumb' alt='The Trial poster' /></a>,7-10 June 2005,In House,The Trial,show,New Theatre,2004-05
NA,NA,NA,/years/04_05/unitalent/,null,Playwright Unknown,Playwright Unknown,NA,2004-05 (Dates Unknown),In House,Unitalent,show,New Theatre,2004-05
NA,NA,NA,/years/04_05/waiting_for_godot/,Samuel Beckett,by Samuel Beckett,by Samuel Beckett,NA,2004-05 (Dates Unknown),In House,Waiting for Godot,show,New Theatre,2004-05
NA,NA,NA,/years/05_06/4_48/,Sarah Kane,by Sarah Kane,by Sarah Kane,NA,2005-06 (Dates Unknown),In House,4.48 Psychosis,show,New Theatre,2005-06
NA,NA,NA,/years/05_06/an_inspector_calls/,J. B. Priestly,by J. B. Priestly,by J. B. Priestly,NA,2005-06 (Dates Unknown),In House,An Inspector Calls,show,New Theatre,2005-06
Maia Gibbs/,Simon Chase/,NA,/years/05_06/blood_wedding/,Federico García Lorca,by Federico García Lorca,by Federico García Lorca,NA,2005-06 (Dates Unknown),In House,Blood Wedding,show,New Theatre,2005-06
NA,NA,NA,/years/05_06/cast_aside_edinburgh/,Charlie Brafman,by Charlie Brafman,by Charlie Brafman,NA,2005-06 (Dates Unknown),Edinburgh,Cast Aside,show,The Zoo,2005-06
NA,NA,2006-03-15,/years/05_06/closer/,Patrick Marber,by Patrick Marber,by Patrick Marber,NA,15-18 March 2006,In House,Closer,show,New Theatre,2005-06
Emma Barnett/,NA,NA,/years/05_06/equus/,Peter Shaffer,by Peter Shaffer,by Peter Shaffer,NA,2005-06 (Dates Unknown),In House,Equus,show,New Theatre,2005-06
NA,NA,NA,/years/05_06/great_expectations/,null,Playwright Unknown,Playwright Unknown,NA,2005-06 (Dates Unknown),In House,Great Expectations,show,New Theatre,2005-06
Michelle Ghatan/,Elle Hosie/Fiona Gregory/,NA,/years/05_06/iron/,Rona Munro,by Rona Munro,by Rona Munro,NA,2005-06 (Dates Unknown),In House,Iron,show,New Theatre,2005-06
Carly Taylor/,Ben Ford/,NA,/years/05_06/oedipus_rex/,Seneca,by Seneca,by Seneca; Translated by Ted Hughes,NA,2005-06 (Dates Unknown),In House,Oedipus Rex,show,New Theatre,2005-06
NA,NA,2006-06-07,/years/05_06/othello/,William Shakespeare,by William Shakespeare,by William Shakespeare,NA,7-10 June 2006,Lakeside,Othello,show,Djanogly Theatre,2005-06
Maia Gibbs/Eleanor Yates/Georgie Strawson/Henry Proffit/Charlie Dupre/,Sam Grafton/,NA,/years/05_06/persae/,Van Badham,by Van Badham,by Van Badham,NA,2005-06 (Dates Unknown),Edinburgh,Persae,show,Underbelly,2005-06
Emily Medhurst/Dave Stevenson/Fran Roper/Magnus McCullagh/Clare Salter/Jen Burrows/Sam  Morris/Francis Whittaker/,Charlie Brafman/Natasha Abrams/Alistair Coe/Daniel Xavier Vizer/Jim Rastall/,2005-12-07,/years/05_06/popcorn/,Ben Elton,by Ben Elton,by Ben Elton,<a href='/years/05_06/popcorn/'><img src='https://photos.smugmug.com/photos/i-tLWL9Tg/0/ae472e7d/128x162/i-tLWL9Tg-128x162.jpg' class='search-result-poster-thumb' alt='Popcorn poster' /></a>,7-10 December 2005,In House,Popcorn,show,New Theatre,2005-06
NA,NA,NA,/years/05_06/the_cradle/,null,Playwright Unknown,Playwright Unknown,NA,2005-06 (Dates Unknown),In House,The Cradle,show,New Theatre,2005-06
NA,NA,2006-08-03,/years/05_06/the_slippery_soapbox_edinburgh/,null,Playwright Unknown,Playwright Unknown,<a href='/years/05_06/the_slippery_soapbox_edinburgh/'><img src='https://photos.smugmug.com/photos/i-bQg3F6W/0/870d0df2/128x162/i-bQg3F6W-128x162.jpg' class='search-result-poster-thumb' alt='The Slippery Soapbox poster' /></a>,3-27 August 2006,Edinburgh,The Slippery Soapbox,show,The Zoo,2005-06
Maia Gibbs/Emily Medhurst/,Sam Grafton/,2006-03-08,/years/05_06/the_treatment/,Martin Crimp,by Martin Crimp,by Martin Crimp,<a href='/years/05_06/the_treatment/'><img src='https://photos.smugmug.com/photos/i-d4GRQrD/0/d89ed5e8/128x162/i-d4GRQrD-128x162.jpg' class='search-result-poster-thumb' alt='The Treatment poster' /></a>,8-11 March 2006,In House,The Treatment,show,New Theatre,2005-06
Edward Hancock/,Charlie Brafman/Natasha Abrams/Megan Allyse/Adroc Sharkie/Daniel Xavier Vizer/,2006-04-19,/years/05_06/thom_pain/,Will Eno,by Will Eno,by Will Eno,NA,19-22 April 2006,In House,Thom Pain,show,New Theatre,2005-06
Maia Gibbs/,Ben Ford/,2006-12-06,/years/06_07/4_48_psychosis/,Sarah Kane,by Sarah Kane,by Sarah Kane,<a href='/years/06_07/4_48_psychosis/'><img src='https://photos.smugmug.com/photos/i-t3vNdDS/0/1a172610/128x162/i-t3vNdDS-128x162.jpg' class='search-result-poster-thumb' alt='4.48 Psychosis poster' /></a>,6-9 December 2006,In House,4.48 Psychosis,show,New Theatre,2006-07
NA,Jen Burrows/,2006-11-22,/years/06_07/a_streetcar_named_desire/,Tennessee Williams,by Tennessee Williams,by Tennessee Williams,<a href='/years/06_07/a_streetcar_named_desire/'><img src='https://photos.smugmug.com/photos/i-63NfNkg/0/76cb394d/128x162/i-63NfNkg-128x162.jpg' class='search-result-poster-thumb' alt='A Streetcar Named Desire poster' /></a>,22-25 November 2006,In House,A Streetcar Named Desire,show,New Theatre,2006-07
